Year,Round,College,Branch,Category,Cutoff_Rank
2020,Mock,RVCE,Computer Science and Engineering,GM,3450
2020,Round 1,RVCE,Computer Science and Engineering,GM,3008
2020,Round 2,RVCE,Computer Science and Engineering,GM,3994
2020,Extended,RVCE,Computer Science and Engineering,GM,2928
2020,Mock,RVCE,Computer Science and Engineering,OBC,6752
2020,Round 1,RVCE,Computer Science and Engineering,OBC,5676
2020,Round 2,RVCE,Computer Science and Engineering,OBC,5418
2020,Extended,RVCE,Computer Science and Engineering,OBC,6738
2020,Mock,RVCE,Computer Science and Engineering,SC,11153
2020,Round 1,RVCE,Computer Science and Engineering,SC,11822
2020,Round 2,RVCE,Computer Science and Engineering,SC,11650
2020,Extended,RVCE,Computer Science and Engineering,SC,12489
2020,Mock,RVCE,Computer Science and Engineering,ST,12814
2020,Round 1,RVCE,Computer Science and Engineering,ST,12970
2020,Round 2,RVCE,Computer Science and Engineering,ST,13943
2020,Extended,RVCE,Computer Science and Engineering,ST,13128
2020,Mock,RVCE,Computer Science and Engineering,1G,5978
2020,Round 1,RVCE,Computer Science and Engineering,1G,7352
2020,Round 2,RVCE,Computer Science and Engineering,1G,7301
2020,Extended,RVCE,Computer Science and Engineering,1G,5838
2020,Mock,RVCE,Computer Science and Engineering,2A,6695
2020,Round 1,RVCE,Computer Science and Engineering,2A,4886
2020,Round 2,RVCE,Computer Science and Engineering,2A,6487
2020,Extended,RVCE,Computer Science and Engineering,2A,6400
2020,Mock,RVCE,Computer Science and Engineering,2B,5371
2020,Round 1,RVCE,Computer Science and Engineering,2B,7010
2020,Round 2,RVCE,Computer Science and Engineering,2B,6369
2020,Extended,RVCE,Computer Science and Engineering,2B,5752
2020,Mock,RVCE,Computer Science and Engineering,3A,5308
2020,Round 1,RVCE,Computer Science and Engineering,3A,5077
2020,Round 2,RVCE,Computer Science and Engineering,3A,4910
2020,Extended,RVCE,Computer Science and Engineering,3A,5690
2020,Mock,RVCE,Computer Science and Engineering,3B,5405
2020,Round 1,RVCE,Computer Science and Engineering,3B,5265
2020,Round 2,RVCE,Computer Science and Engineering,3B,6429
2020,Extended,RVCE,Computer Science and Engineering,3B,6335
2020,Mock,RVCE,Computer Science and Engineering,EWS,4810
2020,Round 1,RVCE,Computer Science and Engineering,EWS,5790
2020,Round 2,RVCE,Computer Science and Engineering,EWS,4935
2020,Extended,RVCE,Computer Science and Engineering,EWS,5146
