Year,Round,College,Branch,Category,Cutoff_Rank
2025,Mock,RVCE,Computer Science and Engineering,GM,3098
2025,Round 1,RVCE,Computer Science and Engineering,GM,3655
2025,Round 2,RVCE,Computer Science and Engineering,GM,3288
2025,Extended,RVCE,Computer Science and Engineering,GM,2151
2025,Mock,RVCE,Computer Science and Engineering,OBC,4610
2025,Round 1,RVCE,Computer Science and Engineering,OBC,4452
2025,Round 2,RVCE,Computer Science and Engineering,OBC,4489
2025,Extended,RVCE,Computer Science and Engineering,OBC,5347
2025,Mock,RVCE,Computer Science and Engineering,SC,10027
2025,Round 1,RVCE,Computer Science and Engineering,SC,11185
2025,Round 2,RVCE,Computer Science and Engineering,SC,10805
2025,Extended,RVCE,Computer Science and Engineering,SC,10125
2025,Mock,RVCE,Computer Science and Engineering,ST,12825
2025,Round 1,RVCE,Computer Science and Engineering,ST,13687
2025,Round 2,RVCE,Computer Science and Engineering,ST,12842
2025,Extended,RVCE,Computer Science and Engineering,ST,12737
2025,Mock,RVCE,Computer Science and Engineering,1G,5350
2025,Round 1,RVCE,Computer Science and Engineering,1G,6618
2025,Round 2,RVCE,Computer Science and Engineering,1G,5465
2025,Extended,RVCE,Computer Science and Engineering,1G,5282
2025,Mock,RVCE,Computer Science and Engineering,2A,4332
2025,Round 1,RVCE,Computer Science and Engineering,2A,4564
2025,Round 2,RVCE,Computer Science and Engineering,2A,4821
2025,Extended,RVCE,Computer Science and Engineering,2A,3762
2025,Mock,RVCE,Computer Science and Engineering,2B,5414
2025,Round 1,RVCE,Computer Science and Engineering,2B,6118
2025,Round 2,RVCE,Computer Science and Engineering,2B,5122
2025,Extended,RVCE,Computer Science and Engineering,2B,5778
2025,Mock,RVCE,Computer Science and Engineering,3A,4239
2025,Round 1,RVCE,Computer Science and Engineering,3A,4990
2025,Round 2,RVCE,Computer Science and Engineering,3A,3649
2025,Extended,RVCE,Computer Science and Engineering,3A,5162
2025,Mock,RVCE,Computer Science and Engineering,3B,4417
2025,Round 1,RVCE,Computer Science and Engineering,3B,4787
2025,Round 2,RVCE,Computer Science and Engineering,3B,5153
2025,Extended,RVCE,Computer Science and Engineering,3B,5203
2025,Mock,RVCE,Computer Science and Engineering,EWS,3608
2025,Round 1,RVCE,Computer Science and Engineering,EWS,3349
2025,Round 2,RVCE,Computer Science and Engineering,EWS,4435
2025,Extended,RVCE,Computer Science and Engineering,EWS,4630
2025,Mock,RVCE,Computer Science and Engineering,GMK,4242
2025,Round 1,RVCE,Computer Science and Engineering,GMK,4565
2025,Round 2,RVCE,Computer Science and Engineering,GMK,4625
2025,Extended,RVCE,Computer Science and Engineering,GMK,4115
2025,Mock,RVCE,Information Science and Engineering,GM,4099
2025,Round 1,RVCE,Information Science and Engineering,GM,3909
2025,Round 2,RVCE,Information Science and Engineering,GM,5317
2025,Extended,RVCE,Information Science and Engineering,GM,4056
2025,Mock,RVCE,Information Science and Engineering,OBC,8149
2025,Round 1,RVCE,Information Science and Engineering,OBC,6912
2025,Round 2,RVCE,Information Science and Engineering,OBC,6757
2025,Extended,RVCE,Information Science and Engineering,OBC,7027
2025,Mock,RVCE,Information Science and Engineering,SC,12065
2025,Round 1,RVCE,Information Science and Engineering,SC,12630
2025,Round 2,RVCE,Information Science and Engineering,SC,12755
2025,Extended,RVCE,Information Science and Engineering,SC,12596
2025,Mock,RVCE,Information Science and Engineering,ST,15534
2025,Round 1,RVCE,Information Science and Engineering,ST,13744
