Year,Round,College,Branch,Category,Cutoff_Rank
2020,Mock,RVCE,Computer Science and Engineering,GM,3621
2020,Round 1,RVCE,Computer Science and Engineering,GM,2707
2020,Round 2,RVCE,Computer Science and Engineering,GM,2737
2020,Extended,RVCE,Computer Science and Engineering,GM,3530
2020,Mock,RVCE,Computer Science and Engineering,HKR,4853
2020,Round 1,RVCE,Computer Science and Engineering,HKR,4173
2020,Round 2,RVCE,Computer Science and Engineering,HKR,5245
2020,Extended,RVCE,Computer Science and Engineering,HKR,4982
2020,Mock,RVCE,Computer Science and Engineering,Tulu,5477
2020,Round 1,RVCE,Computer Science and Engineering,Tulu,5063
2020,Round 2,RVCE,Computer Science and Engineering,Tulu,5671
2020,Extended,RVCE,Computer Science and Engineering,Tulu,6031
2020,Mock,RVCE,Computer Science and Engineering,Christian,5402
2020,Round 1,RVCE,Computer Science and Engineering,Christian,6655
2020,Round 2,RVCE,Computer Science and Engineering,Christian,5892
2020,Extended,RVCE,Computer Science and Engineering,Christian,6721
2020,Mock,RVCE,Computer Science and Engineering,Muslim,6056
2020,Round 1,RVCE,Computer Science and Engineering,Muslim,6871
2020,Round 2,RVCE,Computer Science and Engineering,Muslim,6251
2020,Extended,RVCE,Computer Science and Engineering,Muslim,6981
2020,Mock,RVCE,Computer Science and Engineering,Others,7476
2020,Round 1,RVCE,Computer Science and Engineering,Others,7364
2020,Round 2,RVCE,Computer Science and Engineering,Others,5801
2020,Extended,RVCE,Computer Science and Engineering,Others,7336
2020,Mock,RVCE,Information Science and Engineering,GM,5100
2020,Round 1,RVCE,Information Science and Engineering,GM,5175
2020,Round 2,RVCE,Information Science and Engineering,GM,5013
2020,Extended,RVCE,Information Science and Engineering,GM,6363
2020,Mock,RVCE,Information Science and Engineering,HKR,6424
2020,Round 1,RVCE,Information Science and Engineering,HKR,7185
2020,Round 2,RVCE,Information Science and Engineering,HKR,7158
2020,Extended,RVCE,Information Science and Engineering,HKR,6753
2020,Mock,RVCE,Information Science and Engineering,Tulu,8044
2020,Round 1,RVCE,Information Science and Engineering,Tulu,6783
2020,Round 2,RVCE,Information Science and Engineering,Tulu,7433
2020,Extended,RVCE,Information Science and Engineering,Tulu,7492
2020,Mock,RVCE,Information Science and Engineering,Christian,7412
2020,Round 1,RVCE,Information Science and Engineering,Christian,8324
2020,Round 2,RVCE,Information Science and Engineering,Christian,7422
2020,Extended,RVCE,Information Science and Engineering,Christian,7689
2020,Mock,RVCE,Information Science and Engineering,Muslim,9105
2020,Round 1,RVCE,Information Science and Engineering,Muslim,8638
2020,Round 2,RVCE,Information Science and Engineering,Muslim,7601
2020,Extended,RVCE,Information Science and Engineering,Muslim,7782
2020,Mock,RVCE,Information Science and Engineering,Others,8832
2020,Round 1,RVCE,Information Science and Engineering,Others,8210
2020,Round 2,RVCE,Information Science and Engineering,Others,9422
2020,Extended,RVCE,Information Science and Engineering,Others,9130
2020,Mock,RVCE,Electronics and Communication Engineering,GM,7852
2020,Round 1,RVCE,Electronics and Communication Engineering,GM,7005
2020,Round 2,RVCE,Electronics and Communication Engineering,GM,7155
2020,Extended,RVCE,Electronics and Communication Engineering,GM,6874
2020,Mock,RVCE,Electronics and Communication Engineering,HKR,8714
2020,Round 1,RVCE,Electronics and Communication Engineering,HKR,8656
2020,Round 2,RVCE,Electronics and Communication Engineering,HKR,8820
2020,Extended,RVCE,Electronics and Communication Engineering,HKR,7544
2020,Mock,RVCE,Electronics and Communication Engineering,Tulu,9672
2020,Round 1,RVCE,Electronics and Communication Engineering,Tulu,9029
2020,Round 2,RVCE,Electronics and Communication Engineering,Tulu,8223
2020,Extended,RVCE,Electronics and Communication Engineering,Tulu,8693
2020,Mock,RVCE,Electronics and Communication Engineering,Christian,9323
2020,Round 1,RVCE,Electronics and Communication Engineering,Christian,10158
2020,Round 2,RVCE,Electronics and Communication Engineering,Christian,9356
2020,Extended,RVCE,Electronics and Communication Engineering,Christian,9001
2020,Mock,RVCE,Electronics and Communication Engineering,Muslim,9691
2020,Round 1,RVCE,Electronics and Communication Engineering,Muslim,10207
2020,Round 2,RVCE,Electronics and Communication Engineering,Muslim,9102
2020,Extended,RVCE,Electronics and Communication Engineering,Muslim,8960
2020,Mock,RVCE,Electronics and Communication Engineering,Others,9979
2020,Round 1,RVCE,Electronics and Communication Engineering,Others,10021
2020,Round 2,RVCE,Electronics and Communication Engineering,Others,9226
2020,Extended,RVCE,Electronics and Communication Engineering,Others,10031
2020,Mock,RVCE,Electrical and Electronics Engineering,GM,8910
2020,Round 1,RVCE,Electrical and Electronics Engineering,GM,8707
2020,Round 2,RVCE,Electrical and Electronics Engineering,GM,9063
2020,Extended,RVCE,Electrical and Electronics Engineering,GM,8888
2020,Mock,RVCE,Electrical and Electronics Engineering,HKR,10300
2020,Round 1,RVCE,Electrical and Electronics Engineering,HKR,9519
2020,Round 2,RVCE,Electrical and Electronics Engineering,HKR,9357
2020,Extended,RVCE,Electrical and Electronics Engineering,HKR,9218
2020,Mock,RVCE,Electrical and Electronics Engineering,Tulu,10097
2020,Round 1,RVCE,Electrical and Electronics Engineering,Tulu,10915
2020,Round 2,RVCE,Electrical and Electronics Engineering,Tulu,10346
2020,Extended,RVCE,Electrical and Electronics Engineering,Tulu,11377
2020,Mock,RVCE,Electrical and Electronics Engineering,Christian,10623
2020,Round 1,RVCE,Electrical and Electronics Engineering,Christian,10951
2020,Round 2,RVCE,Electrical and Electronics Engineering,Christian,11633
2020,Extended,RVCE,Electrical and Electronics Engineering,Christian,11933
2020,Mock,RVCE,Electrical and Electronics Engineering,Muslim,11780
2020,Round 1,RVCE,Electrical and Electronics Engineering,Muslim,10564
2020,Round 2,RVCE,Electrical and Electronics Engineering,Muslim,11738
2020,Extended,RVCE,Electrical and Electronics Engineering,Muslim,10432
2020,Mock,RVCE,Electrical and Electronics Engineering,Others,11371
2020,Round 1,RVCE,Electrical and Electronics Engineering,Others,11330
2020,Round 2,RVCE,Electrical and Electronics Engineering,Others,11827
2020,Extended,RVCE,Electrical and Electronics Engineering,Others,11376
2020,Mock,RVCE,Mechanical Engineering,GM,13307
2020,Round 1,RVCE,Mechanical Engineering,GM,12895
2020,Round 2,RVCE,Mechanical Engineering,GM,14460
2020,Extended,RVCE,Mechanical Engineering,GM,13658
2020,Mock,RVCE,Mechanical Engineering,HKR,14399
2020,Round 1,RVCE,Mechanical Engineering,HKR,14609
2020,Round 2,RVCE,Mechanical Engineering,HKR,14763
2020,Extended,RVCE,Mechanical Engineering,HKR,14318
2020,Mock,RVCE,Mechanical Engineering,Tulu,15933
2020,Round 1,RVCE,Mechanical Engineering,Tulu,15617
2020,Round 2,RVCE,Mechanical Engineering,Tulu,16288
2020,Extended,RVCE,Mechanical Engineering,Tulu,15483
2020,Mock,RVCE,Mechanical Engineering,Christian,15965
2020,Round 1,RVCE,Mechanical Engineering,Christian,16527
2020,Round 2,RVCE,Mechanical Engineering,Christian,16483
2020,Extended,RVCE,Mechanical Engineering,Christian,15833
2020,Mock,RVCE,Mechanical Engineering,Muslim,16276
2020,Round 1,RVCE,Mechanical Engineering,Muslim,15868
2020,Round 2,RVCE,Mechanical Engineering,Muslim,16434
2020,Extended,RVCE,Mechanical Engineering,Muslim,17004
2020,Mock,RVCE,Mechanical Engineering,Others,15782
2020,Round 1,RVCE,Mechanical Engineering,Others,16942
2020,Round 2,RVCE,Mechanical Engineering,Others,15966
2020,Extended,RVCE,Mechanical Engineering,Others,15785
2020,Mock,RVCE,Civil Engineering,GM,14918
2020,Round 1,RVCE,Civil Engineering,GM,15556
2020,Round 2,RVCE,Civil Engineering,GM,16125
2020,Extended,RVCE,Civil Engineering,GM,15194
2020,Mock,RVCE,Civil Engineering,HKR,17593
2020,Round 1,RVCE,Civil Engineering,HKR,17310
2020,Round 2,RVCE,Civil Engineering,HKR,16399
2020,Extended,RVCE,Civil Engineering,HKR,16942
2020,Mock,RVCE,Civil Engineering,Tulu,17875
2020,Round 1,RVCE,Civil Engineering,Tulu,16727
2020,Round 2,RVCE,Civil Engineering,Tulu,17936
2020,Extended,RVCE,Civil Engineering,Tulu,18206
2020,Mock,RVCE,Civil Engineering,Christian,17211
2020,Round 1,RVCE,Civil Engineering,Christian,18258
2020,Round 2,RVCE,Civil Engineering,Christian,17206
