Year,Round,College,Branch,Category,Cutoff_Rank
2021,Mock,RVCE,Computer Science and Engineering,GM,3358
2021,Round 1,RVCE,Computer Science and Engineering,GM,3695
2021,Round 2,RVCE,Computer Science and Engineering,GM,3877
2021,Extended,RVCE,Computer Science and Engineering,GM,3836
2021,Mock,RVCE,Computer Science and Engineering,HKR,4901
2021,Round 1,RVCE,Computer Science and Engineering,HKR,5205
2021,Round 2,RVCE,Computer Science and Engineering,HKR,5404
2021,Extended,RVCE,Computer Science and Engineering,HKR,3810
2021,Mock,RVCE,Computer Science and Engineering,Tulu,5502
2021,Round 1,RVCE,Computer Science and Engineering,Tulu,5178
2021,Round 2,RVCE,Computer Science and Engineering,Tulu,5093
2021,Extended,RVCE,Computer Science and Engineering,Tulu,4628
2021,Mock,RVCE,Computer Science and Engineering,Christian,6515
2021,Round 1,RVCE,Computer Science and Engineering,Christian,5619
2021,Round 2,RVCE,Computer Science and Engineering,Christian,5845
2021,Extended,RVCE,Computer Science and Engineering,Christian,5568
2021,Mock,RVCE,Computer Science and Engineering,Muslim,6525
2021,Round 1,RVCE,Computer Science and Engineering,Muslim,6316
2021,Round 2,RVCE,Computer Science and Engineering,Muslim,5330
2021,Extended,RVCE,Computer Science and Engineering,Muslim,6762
2021,Mock,RVCE,Computer Science and Engineering,Others,7220
2021,Round 1,RVCE,Computer Science and Engineering,Others,6902
2021,Round 2,RVCE,Computer Science and Engineering,Others,6100
2021,Extended,RVCE,Computer Science and Engineering,Others,5895
2021,Mock,RVCE,Information Science and Engineering,GM,5559
2021,Round 1,RVCE,Information Science and Engineering,GM,4726
2021,Round 2,RVCE,Information Science and Engineering,GM,6161
2021,Extended,RVCE,Information Science and Engineering,GM,6270
2021,Mock,RVCE,Information Science and Engineering,HKR,6957
2021,Round 1,RVCE,Information Science and Engineering,HKR,6291
2021,Round 2,RVCE,Information Science and Engineering,HKR,6555
2021,Extended,RVCE,Information Science and Engineering,HKR,6825
2021,Mock,RVCE,Information Science and Engineering,Tulu,7311
2021,Round 1,RVCE,Information Science and Engineering,Tulu,7306
2021,Round 2,RVCE,Information Science and Engineering,Tulu,7980
2021,Extended,RVCE,Information Science and Engineering,Tulu,7345
2021,Mock,RVCE,Information Science and Engineering,Christian,7595
2021,Round 1,RVCE,Information Science and Engineering,Christian,7927
2021,Round 2,RVCE,Information Science and Engineering,Christian,8653
2021,Extended,RVCE,Information Science and Engineering,Christian,8040
2021,Mock,RVCE,Information Science and Engineering,Muslim,7397
2021,Round 1,RVCE,Information Science and Engineering,Muslim,8645
2021,Round 2,RVCE,Information Science and Engineering,Muslim,8423
2021,Extended,RVCE,Information Science and Engineering,Muslim,7307
2021,Mock,RVCE,Information Science and Engineering,Others,7887
2021,Round 1,RVCE,Information Science and Engineering,Others,8988
2021,Round 2,RVCE,Information Science and Engineering,Others,8179
2021,Extended,RVCE,Information Science and Engineering,Others,8467
2021,Mock,RVCE,Electronics and Communication Engineering,GM,6386
2021,Round 1,RVCE,Electronics and Communication Engineering,GM,6491
2021,Round 2,RVCE,Electronics and Communication Engineering,GM,7824
2021,Extended,RVCE,Electronics and Communication Engineering,GM,6481
2021,Mock,RVCE,Electronics and Communication Engineering,HKR,8106
2021,Round 1,RVCE,Electronics and Communication Engineering,HKR,8712
2021,Round 2,RVCE,Electronics and Communication Engineering,HKR,8262
2021,Extended,RVCE,Electronics and Communication Engineering,HKR,8168
2021,Mock,RVCE,Electronics and Communication Engineering,Tulu,8277
2021,Round 1,RVCE,Electronics and Communication Engineering,Tulu,9749
2021,Round 2,RVCE,Electronics and Communication Engineering,Tulu,9073
